label,message
spam,URGENT! Your shopping voucher reward is waiting. Click the link.
ham,Please send the documents by evening.
spam,You have been selected for a bonus reward prize. Call now!
ham,"Hey, are we meeting today?"
spam,Limited offer! Get vacation for free today.
ham,Can you call me when you reach home?
ham,"Hey, are we meeting today?"
ham,Can you call me when you reach home?
ham,Don't forget the meeting tomorrow.
ham,"Hey, are we meeting today?"
ham,Don't forget the meeting tomorrow.
spam,URGENT! Your vacation reward is waiting. Click the link.
ham,Please send the documents by evening.
spam,URGENT! Your iPhone reward is waiting. Click the link.
spam,Congratulations! You have won a FREE bonus reward. Claim now!
spam,WINNER! Click here to get your bonus reward reward.
ham,Let's have lunch together later.
ham,Don't forget the meeting tomorrow.
spam,URGENT! Your vacation reward is waiting. Click the link.
ham,"Hey, are we meeting today?"
ham,"Hey, are we meeting today?"
ham,Can you call me when you reach home?
spam,Limited offer! Get vacation for free today.
spam,URGENT! Your shopping voucher reward is waiting. Click the link.
ham,Don't forget the meeting tomorrow.
ham,"Hey, are we meeting today?"
ham,Don't forget the meeting tomorrow.
ham,Can you call me when you reach home?
spam,Congratulations! You have won a FREE vacation. Claim now!
spam,URGENT! Your gift card reward is waiting. Click the link.
ham,Please send the documents by evening.
ham,Let's have lunch together later.
ham,"Hey, are we meeting today?"
ham,Can you call me when you reach home?
ham,Don't forget the meeting tomorrow.
ham,Can you call me when you reach home?
ham,Let's have lunch together later.
ham,"Hey, are we meeting today?"
ham,"Hey, are we meeting today?"
ham,Please send the documents by evening.
spam,Congratulations! You have won a FREE vacation. Claim now!
ham,"Hey, are we meeting today?"
ham,"Hey, are we meeting today?"
spam,Congratulations! You have won a FREE gift card. Claim now!
ham,Don't forget the meeting tomorrow.
spam,You have been selected for a iPhone prize. Call now!
ham,Don't forget the meeting tomorrow.
ham,Please send the documents by evening.
spam,WINNER! Click here to get your vacation reward.
spam,Congratulations! You have won a FREE shopping voucher. Claim now!
spam,You have been selected for a gift card prize. Call now!
ham,"Hey, are we meeting today?"
spam,URGENT! Your vacation reward is waiting. Click the link.
ham,Please send the documents by evening.
spam,Limited offer! Get gift card for free today.
ham,Don't forget the meeting tomorrow.
ham,"Hey, are we meeting today?"
ham,Let's have lunch together later.
